level_0,level_1,r
BIO1,tmean,0.9994640384976955
BIO1,tmin,0.9758848236914207
BIO5,tmin,0.9751003037692828
tmean,tmin,0.970772692172524
BIO1,BIO5,0.9616564485985192
BIO5,tmean,0.9585306774139757
tmean,tmax,0.9361799545095779
BIO17,BIO19,0.9295364372698017
BIO1,tmax,0.927090287393283
BIO3,humid,-0.9194378823382003
BIO2,BIO11,-0.91530435178863
BIO13,BIO19,0.9105355923765419
BIO10,tmean,0.8988023129174023
BIO9,BIO19,0.8920710853061253
BIO1,BIO10,0.8916366852499813
BIO5,BIO10,0.8872161029957398
BIO10,tmax,0.8800688571086849
BIO2,humid,-0.8743257634243675
BIO11,humid,0.8604199300974329
BIO2,tmin,-0.8586453335569891
BIO2,BIO3,0.8562875814178753
BIO3,tmin,-0.8548561272349837
BIO9,BIO17,0.8498664157562485
tmax,tmin,0.8455672073750492
BIO3,BIO5,-0.8423532252563413
tmin,humid,0.8405874732576993
BIO2,BIO5,-0.82983160159138
BIO5,tmax,0.8278917277605476
BIO13,BIO15,0.8219383996886734
BIO11,BIO17,0.8179514751857996
BIO2,BIO6,-0.816417868165487
BIO8,BIO10,0.8159183000232334
BIO9,BIO11,0.8109759441952932
BIO10,tmin,0.808953165759886
BIO5,BIO6,0.7873443231999492
BIO6,tmin,0.782370319475465
BIO8,BIO14,-0.7607185443335915
BIO1,BIO6,0.7603462144300546
BIO6,tmean,0.7518833140478526
BIO1,BIO3,-0.7514942539167317
