,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,tmean,tmax,tmin,prcp,rad,humid
품종,,,,,,,,,,,,,,,,,,,,,,,,,
과중,0.7421130476295165,-0.34560227317094533,-0.5804252440711603,0.3268725328480298,0.6273728374102688,0.23148862004962473,0.4678916681436867,0.20837667095934376,-0.17881460703101953,0.5768797062884587,0.2578718532711551,0.07594344014373594,0.02155248159353546,0.21637216697909356,-0.2897160904090519,-0.117046772447902,0.3286713420664569,-0.14197309656189258,0.10113091585641644,0.7534354803043944,0.8745664885804758,0.7080036376173738,0.07594344014373594,-0.07646790598697498,0.6350372155872822
종경,0.8631428797698398,-0.585633820733848,-0.7412541892820357,0.33190017944778233,0.8412396615281849,0.49420210145052884,0.3299698842800905,0.4159412251455271,-0.14023536739037046,0.7486320649656392,0.37331255636715027,-0.10177826551281564,-0.007824023491100241,-0.061217392672148596,-0.21114446394158046,-0.26560099795628445,0.2472952602067473,-0.2606308297336872,0.04363399984261647,0.872485327146151,0.8852597984057317,0.8615016770481814,-0.10177826551281564,-0.0942759469886244,0.7088285567065299
횡경,0.5860989322954119,-0.051040890313168615,-0.22257220332918531,0.39521137332610196,0.36983197341650437,0.10434487394135966,0.3277885165890465,0.013881571310523873,-0.12807858525329605,0.4410129914965098,0.09398668143639287,0.161144976080083,0.07696260387820969,0.5066189602263025,-0.19945152471668975,0.0009225315522279969,0.40865179788760037,-0.012838817771431706,0.20756917356866791,0.5995657678722754,0.7974297569761586,0.4836705530690143,0.161144976080083,0.08593431074678066,0.36214224127751765
L,0.97241398980119,-0.8184221193648886,-0.8170999386493731,0.16333801210637558,0.9837082824458062,0.790919014111843,0.041145714250088145,0.6792389093212852,0.4048750885238957,0.8850971728780834,0.6760404429726292,0.2467611807681063,0.5133450800353129,-0.18539324233048024,0.34697858330995807,0.1646119981574883,0.5993129664909755,0.21738245550487897,0.5471883032909366,0.9664800401777526,0.8384589079961265,0.972752309679913,0.2467611807681063,-0.15594510385299865,0.7409764379512558
a,-0.6924379520688634,0.8814236565555086,0.6709348620484971,0.377543768170886,-0.7208813437095866,-0.8113974671545455,0.34493527390032186,-0.36888286322272207,-0.8632633845692618,-0.4827862790132595,-0.9256628240068978,-0.4988455092371463,-0.6712526459627568,-0.027635153921336666,-0.4225381087496272,-0.42772418512328897,-0.8278778342308831,-0.4557465207604568,-0.8108917914085425,-0.6694835416742415,-0.4091649532875674,-0.7595034382310685,-0.4988455092371463,0.528070721753674,-0.7151960784050154
b,0.9298140190015834,-0.8691984070668541,-0.9068319094879728,0.07865964053970782,0.9850319790058761,0.7430998093153276,0.12030335775411867,0.6895352983813509,0.36991311539070854,0.8304772387229392,0.6993625408124717,0.23569080339406895,0.4701713220137506,-0.28842557819066156,0.2817427311609282,0.14436413841142945,0.5287068254634937,0.18133727274131567,0.4749661504149541,0.9221648138115087,0.771819758321615,0.9660315212442304,0.23569080339406895,-0.24311045409234586,0.8046682935068127
경도,0.9515604715023729,-0.7378419326159465,-0.7353677979727823,0.2444226825775893,0.9493058169948283,0.768686537267345,0.030923729572946146,0.739872083242351,0.42506887219449613,0.9160383254462439,0.6083462824407789,0.28905061766483087,0.5985246334516737,-0.20978715111950588,0.4843435885857001,0.2432548207519753,0.6058385746677992,0.3130903293410761,0.602986108729765,0.9461480669562183,0.8365606306987052,0.9233668281602527,0.28905061766483087,-0.03582475151295621,0.6366848810546596
당도,0.3830272440046711,-0.5520848939809202,-0.449988784998891,0.04454295651554117,0.5641287782594924,0.574218553484424,-0.17163583258551862,0.7798589812272895,0.41023789536001753,0.546800455526864,0.3622509086208753,0.09957679345437208,0.5057072373686865,-0.7218853559165191,0.7036585607062775,0.2258885426224575,0.13342323363153388,0.31841203515415206,0.3417566480913242,0.37007625350216317,0.13657548428018712,0.4154371740819657,0.09957679345437208,0.05858339173663889,0.18763813076378283
산도,-0.4602842913761775,0.21354100611364055,0.42662242669548167,0.05066364311784294,-0.29616834078607474,0.018099433937342174,-0.4270045705310406,0.18140239499627184,-0.004515310221477444,-0.15240371785412338,-0.32404462729543326,-0.3486123670485791,-0.06865637483811254,-0.5529121160041953,0.42043435067456214,-0.11378837307615926,-0.4861133558560588,-0.03190964519725913,-0.23173495395541063,-0.4632101497926254,-0.5943596100419795,-0.46280507113176833,-0.3486123670485791,0.35848236411812995,-0.6260262250126776
